"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 45 through 47.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1.  State of Residence by State of Birth1: 2017,,,,,,,,,,,Table 1.  State of Residence by State of Birth1: 2017,,,,,,,,,,,Table 1.  State of Residence by State of Birth1: 2017,,,,,,,,,,,Table 1.  State of Residence by State of Birth1: 2017,,,,,,,,,,,Table 1.  State of Residence by State of Birth1: 2017,,,,,,,,,,,Table 1.  State of Residence by State of Birth1: 2017,,,,,,,,,,,Table 1.  State of Residence by State of Birth1: 2017,,,,,,,,,,,Table 1.  State of Residence by State of Birth1: 2017,,,,,,,,,,,Table 1.  State of Residence by State of Birth1: 2017,,,,,,,,,,,Table 1.  State of Residence by State of Birth1: 2017,,,,,,,,,,,Table 1.  State of Residence by State of Birth1: 2017,,,,,,,,,,,Table 1.  State of Residence by State of Birth1: 2017,,,,,,,,,,
Dataset: 2017 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2017 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2017 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2017 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2017 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2017 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2017 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2017 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2017 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2017 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2017 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2017 American Community Survey 1-Year Estimates,,,,,,,,,,
Universe: Total Population,,,,,,,,,,,Universe: Total Population,,,,,,,,,,,Universe: Total Population,,,,,,,,,,,Universe: Total Population,,,,,,,,,,,Universe: Total Population,,,,,,,,,,,Universe: Total Population,,,,,,,,,,,Universe: Total Population,,,,,,,,,,,Universe: Total Population,,,,,,,,,,,Universe: Total Population,,,,,,,,,,,Universe: Total Population,,,,,,,,,,,Universe: Total Population,,,,,,,,,,,Universe: Total Population,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current residence,Total Population,,State of birth,,,,,,,,Current residence,State of birth (continued),,,,,,,,,,Current residence,State of birth (continued),,,,,,,,,,Current residence,State of birth (continued),,,,,,,,,,Current residence,State of birth (continued),,,,,,,,,,Current residence,State of birth (continued),,,,,,,,,,Current residence,State of birth (continued),,,,,,,,,,Current residence,State of birth (continued),,,,,,,,,,Current residence,State of birth (continued),,,,,,,,,,Current residence,State of birth (continued),,,,,,,,,,Current residence,State of birth (continued),,,,,,,,,,Current residence,State of birth (continued),,,,,,,,,
,,,Alabama,,Alaska,,Arizona,,Arkansas,,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,,Wisconsin,,Wyoming,,Puerto Rico,,American Samoa,,Guam,,,Northern Marianas Islands,,U.S. Virgin Islands,,Other U.S. Island Areas3,,Foreign Country4,,,
,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States2,"325,719,178",*****,"4,819,291","+/- 30,927","636,317","+/- 13,642","3,853,001","+/- 36,204","2,830,172","+/- 27,200",United States2,"29,269,378","+/- 72,286","3,651,605","+/- 31,537","3,195,105","+/- 26,361","733,755","+/- 14,345","1,434,102","+/- 21,118",United States2,"10,174,369","+/- 52,958","7,679,965","+/- 47,017","1,286,137","+/- 17,071","1,356,234","+/- 15,423","13,459,855","+/- 51,722",United States2,"6,568,485","+/- 34,516","3,628,171","+/- 23,696","2,979,707","+/- 22,116","4,468,613","+/- 33,850","5,240,805","+/- 32,615",United States2,"1,324,951","+/- 17,985","4,428,255","+/- 31,180","6,509,537","+/- 43,658","10,636,568","+/- 42,182","5,249,525","+/- 25,788",United States2,"3,350,350","+/- 25,639","5,925,790","+/- 37,664","971,481","+/- 17,371","2,080,281","+/- 17,473","1,213,229","+/- 18,984",United States2,"964,928","+/- 17,325","7,713,941","+/- 41,502","1,846,115","+/- 22,013","20,501,673","+/- 67,370","7,668,068","+/- 38,536",United States2,"976,036","+/- 15,873","12,414,993","+/- 50,194","3,619,114","+/- 28,420","2,856,761","+/- 26,455","13,428,323","+/- 44,668",United States2,"1,052,785","+/- 16,718","3,889,643","+/- 31,100","1,033,941","+/- 13,158","5,625,247","+/- 37,350","20,571,420","+/- 80,129",United States2,"2,638,445","+/- 22,413","563,014","+/- 10,897","6,251,937","+/- 43,374","4,907,375","+/- 31,356","2,312,726","+/- 19,442",United States2,"5,690,495","+/- 27,367","544,576","+/- 12,994","1,795,234","+/- 31,056","30,874","+/- 4,203","101,248","+/- 5,704",United States2,"13,065","+/- 3,503","66,939","+/- 6,567",471,+/- 396,"47,684,757","+/- 134,492",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"4,874,747",*****,"3,407,382","+/- 20,320","5,430","+/- 1,502","9,000","+/- 2,131","16,533","+/- 2,533",Alabama,"53,374","+/- 4,305","10,149","+/- 1,926","9,236","+/- 2,663","3,173","+/- 1,488","4,464",+/- 895,Alabama,"132,877","+/- 6,760","175,851","+/- 7,833","5,007","+/- 1,390",960,+/- 480,"57,341","+/- 4,477",Alabama,"27,688","+/- 2,866","9,126","+/- 2,086","8,722","+/- 1,489","28,081","+/- 2,930","45,417","+/- 5,016",Alabama,"4,392","+/- 1,299","14,181","+/- 2,620","12,296","+/- 1,925","46,059","+/- 3,712","7,437","+/- 1,521",Alabama,"97,255","+/- 5,135","22,303","+/- 3,037","1,576",+/- 630,"4,435","+/- 1,097","2,500",+/- 937,Alabama,"1,554",+/- 680,"17,081","+/- 2,462","5,423","+/- 1,418","42,854","+/- 3,822","26,666","+/- 2,884",Alabama,"2,166",+/- 812,"48,065","+/- 4,324","14,023","+/- 2,043","3,331","+/- 1,017","35,681","+/- 3,793",Alabama,"1,653",+/- 678,"20,761","+/- 2,753","3,361","+/- 1,220","84,499","+/- 4,953","69,069","+/- 5,683",Alabama,"3,291","+/- 1,462",688,+/- 445,"25,019","+/- 3,273","10,287","+/- 2,114","8,525","+/- 1,739",Alabama,"12,473","+/- 2,220","1,305",+/- 531,"6,313","+/- 1,979",27,+/- 44,"1,635","+/- 1,134",Alabama,205,+/- 287,656,+/- 449,0,+/- 200,"205,891","+/- 7,782",,
Alaska,"739,795",*****,"3,991","+/- 1,338","314,056","+/- 8,570","6,559","+/- 1,252","1,627",+/- 561,Alaska,"43,742","+/- 3,118","10,323","+/- 2,080","1,537",+/- 531,474,+/- 275,"1,148",+/- 699,Alaska,"7,587","+/- 1,361","5,034","+/- 1,345","3,811","+/- 1,093","9,818","+/- 2,942","10,613","+/- 1,740",Alaska,"5,129","+/- 1,256","4,980","+/- 1,353","4,704","+/- 1,242","2,546","+/- 1,060","4,587","+/- 1,142",Alaska,"2,363",+/- 803,"4,230","+/- 1,296","4,222",+/- 908,"12,650","+/- 1,961","12,929","+/- 1,882",Alaska,"1,937",+/- 827,"5,060","+/- 1,204","8,818","+/- 1,596","3,575",+/- 935,"2,726",+/- 865,Alaska,"1,057",+/- 457,"5,739","+/- 1,255","2,847","+/- 1,028","12,572","+/- 1,830","6,461","+/- 1,706",Alaska,"3,112",+/- 916,"9,564","+/- 2,338","4,469","+/- 1,472","18,024","+/- 2,358","10,005","+/- 1,823",Alaska,744,+/- 368,"2,338",+/- 913,"2,793",+/- 719,"5,438","+/- 1,872","18,463","+/- 2,043",Alaska,"5,294","+/- 1,345",898,+/- 441,"5,049","+/- 1,315","31,539","+/- 3,004","1,176",+/- 560,Alaska,"11,258","+/- 2,399","2,463",+/- 885,"2,522","+/- 1,005","2,938","+/- 1,555","1,183",+/- 636,Alaska,187,+/- 240,72,+/- 87,0,+/- 153,"70,814","+/- 4,998",,
Arizona,"7,016,270",*****,"14,021","+/- 1,827","12,983","+/- 2,121","2,784,137","+/- 27,901","20,233","+/- 2,067",Arizona,"652,807","+/- 15,830","87,055","+/- 6,418","26,940","+/- 2,967","4,003","+/- 1,123","9,211","+/- 1,339",Arizona,"39,205","+/- 3,628","22,879","+/- 2,820","16,074","+/- 2,273","31,030","+/- 3,385","257,495","+/- 10,796",Arizona,"79,342","+/- 6,489","83,347","+/- 5,251","49,881","+/- 3,572","19,228","+/- 2,437","19,911","+/- 3,919",Arizona,"14,839","+/- 2,336","23,390","+/- 3,420","48,111","+/- 3,490","159,073","+/- 7,626","91,090","+/- 6,231",Arizona,"12,312","+/- 2,045","58,189","+/- 3,901","24,368","+/- 2,923","41,120","+/- 3,742","28,346","+/- 3,635",Arizona,"6,472","+/- 1,570","65,519","+/- 4,586","76,508","+/- 4,583","192,370","+/- 6,563","23,575","+/- 3,447",Arizona,"27,504","+/- 3,165","142,308","+/- 8,013","38,762","+/- 3,559","51,188","+/- 4,747","100,980","+/- 7,022",Arizona,"9,005","+/- 1,675","10,601","+/- 1,863","24,286","+/- 2,598","20,483","+/- 2,163","146,511","+/- 6,269",Arizona,"76,697","+/- 5,392","4,672","+/- 1,023","29,153","+/- 3,432","88,250","+/- 5,841","12,397","+/- 2,200",Arizona,"92,486","+/- 6,782","18,785","+/- 2,617","11,247","+/- 2,382",156,+/- 148,"3,309","+/- 1,411",Arizona,664,+/- 622,597,+/- 314,0,+/- 208,"1,011,165","+/- 19,839",,
Arkansas,"3,004,279",*****,"15,983","+/- 2,277","4,409","+/- 1,534","14,529","+/- 2,406","1,821,927","+/- 15,268",Arkansas,"107,432","+/- 6,961","12,931","+/- 2,122","2,190",+/- 932,"1,715",+/- 896,"2,020",+/- 705,Arkansas,"20,306","+/- 3,057","18,159","+/- 2,957","2,644",+/- 826,"2,056",+/- 783,"64,821","+/- 4,859",Arkansas,"20,731","+/- 2,317","17,580","+/- 2,069","32,122","+/- 3,619","8,799","+/- 1,547","56,318","+/- 4,504",Arkansas,"2,132",+/- 732,"6,010","+/- 1,446","7,257","+/- 1,800","29,916","+/- 3,317","12,589","+/- 2,030",Arkansas,"37,875","+/- 4,485","82,749","+/- 5,535","1,586",+/- 619,"8,324","+/- 1,640","2,159",+/- 862,Arkansas,988,+/- 572,"6,919","+/- 1,249","7,594","+/- 1,712","16,899","+/- 2,448","9,996","+/- 1,998",Arkansas,"1,835",+/- 703,"18,336","+/- 2,475","63,845","+/- 4,584","7,480","+/- 1,495","15,281","+/- 3,242",Arkansas,"4,298","+/- 1,471","4,580","+/- 1,095","3,599",+/- 948,"61,770","+/- 4,566","158,075","+/- 8,413",Arkansas,"3,709","+/- 1,058",359,+/- 283,"8,283","+/- 1,664","9,683","+/- 1,478","2,594",+/- 890,Arkansas,"13,472","+/- 2,189","2,678",+/- 875,"2,666","+/- 1,618",0,+/- 201,684,+/- 529,Arkansas,133,+/- 217,83,+/- 152,0,+/- 201,"161,171","+/- 6,687",,
California,"39,536,653",*****,"69,927","+/- 4,564","28,487","+/- 2,853","198,430","+/- 8,985","89,517","+/- 5,084",California,"21,966,372","+/- 49,266","166,373","+/- 6,967","92,521","+/- 5,838","15,407","+/- 2,650","46,434","+/- 3,521",California,"153,382","+/- 7,101","86,968","+/- 4,843","130,806","+/- 7,722","59,304","+/- 4,384","448,980","+/- 10,056",California,"130,370","+/- 7,416","111,311","+/- 6,148","94,108","+/- 5,668","45,968","+/- 3,538","131,506","+/- 6,502",California,"33,968","+/- 2,972","85,647","+/- 4,550","185,171","+/- 7,237","275,751","+/- 9,658","135,575","+/- 6,537",California,"66,220","+/- 4,397","143,140","+/- 7,692","39,627","+/- 3,081","72,229","+/- 3,423","99,018","+/- 6,561",California,"20,047","+/- 2,114","194,887","+/- 7,330","81,754","+/- 5,808","611,925","+/- 14,020","80,326","+/- 5,141",California,"36,512","+/- 3,207","266,201","+/- 8,426","123,251","+/- 7,173","163,346","+/- 7,184","281,889","+/- 8,328",California,"28,960","+/- 2,863","35,468","+/- 3,179","37,645","+/- 3,238","70,068","+/- 4,248","468,340","+/- 11,196",California,"93,290","+/- 6,385","10,063","+/- 1,833","113,554","+/- 6,241","236,877","+/- 7,686","27,837","+/- 2,652",California,"123,740","+/- 6,737","23,090","+/- 2,444","38,761","+/- 3,811","6,927","+/- 1,471","23,855","+/- 2,991",California,"1,031",+/- 594,"1,753",+/- 903,244,+/- 338,"11,132,495","+/- 48,174",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
